4 - A;B;C;D;not(A);not(B);not(C);not(D);AvB;not(AnBnCnD)
1;1;1;1;1;1;1;1;0;0;0;0;1;0
1;1;1;0;1;1;1;0;0;0;0;1;1;1
1;1;0;1;1;1;0;1;0;0;1;0;1;1
1;1;0;0;1;1;0;0;0;0;1;1;1;1
1;0;1;1;1;0;1;1;0;1;0;0;1;1
1;0;1;0;1;0;1;0;0;1;0;1;1;1
1;0;0;1;1;0;0;1;0;1;1;0;1;1
1;0;0;0;1;0;0;0;0;1;1;1;1;1
0;1;1;1;0;1;1;1;1;0;0;0;1;1
0;1;1;0;0;1;1;0;1;0;0;1;1;1
0;1;0;1;0;1;0;1;1;0;1;0;1;1
0;1;0;0;0;1;0;0;1;0;1;1;1;1
0;0;1;1;0;0;1;1;1;1;0;0;0;1
0;0;1;0;0;0;1;0;1;1;0;1;0;1
0;0;0;1;0;0;0;1;1;1;1;0;0;1
0;0;0;0;0;0;0;0;1;1;1;1;0;1
