4 - 1643;19134;21606;502;44698;17757;50437;7396;40746;56518
1;1;1;1;0;0;0;0;1;0;1;0;1;1
1;1;1;0;0;1;1;0;0;1;1;0;0;1
1;1;0;1;0;0;0;0;1;0;0;0;0;0
1;1;0;0;0;0;1;0;0;0;0;1;1;1
1;0;1;1;0;1;0;0;1;0;0;1;1;1
1;0;1;0;1;0;1;0;1;1;1;1;1;1
1;0;0;1;1;1;0;0;1;0;0;0;1;0
1;0;0;0;0;0;0;1;0;1;1;0;1;0
0;1;1;1;0;1;0;1;1;0;0;1;0;1
0;1;1;0;1;0;1;1;0;1;0;1;0;1
0;1;0;1;1;1;1;1;0;0;0;1;1;0
0;1;0;0;0;1;0;1;1;1;0;0;0;0
0;0;1;1;1;1;0;0;1;1;0;0;1;0
0;0;1;0;0;1;1;1;0;1;1;1;0;1
0;0;0;1;1;1;1;1;1;0;0;0;1;1
0;0;0;0;1;0;0;0;0;1;1;0;0;0
